,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
20409,India,IND,2021-01-15,0.0,0.0,,,,0.0,0.0,,,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
20410,India,IND,2021-01-16,191181.0,191181.0,,191181.0,191181.0,0.01,0.01,,137.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
20411,India,IND,2021-01-17,224301.0,224301.0,,33120.0,112150.0,0.02,0.02,,80.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
20412,India,IND,2021-01-18,454049.0,454049.0,,229748.0,151350.0,0.03,0.03,,109.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
20413,India,IND,2021-01-19,674835.0,674835.0,,220786.0,168709.0,0.05,0.05,,121.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
20414,India,IND,2021-01-20,806484.0,806484.0,,131649.0,161297.0,0.06,0.06,,116.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
20415,India,IND,2021-01-21,1043534.0,1043534.0,,237050.0,173922.0,0.07,0.07,,125.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
20416,India,IND,2021-01-22,1390592.0,1390592.0,,347058.0,198656.0,0.1,0.1,,143.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
20417,India,IND,2021-01-23,1582201.0,1582201.0,,191609.0,198717.0,0.11,0.11,,143.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
20418,India,IND,2021-01-24,1615504.0,1615504.0,,33303.0,198743.0,0.12,0.12,,143.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
20419,India,IND,2021-01-25,2023809.0,2023809.0,,408305.0,224251.0,0.15,0.15,,161.0,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
