Security Name,Qty,Avg.Cost,Hldg. Cost,MktPrice,Industry,MktValue,Date Invested,Unrealised Gain Loss,% Unrealised Gain Loss,Days Gain Loss,Days Gain Loss %,Realised Gain/Loss Square up,Realised Gain/Loss Delivery,Total
Alok Industries Ltd.,40,21.16,846.29,25.35,Textile,1014,01-06-2016 00:15,167.71,19.82%,-18,-1.74,0,0,0
Bharat Petroleum Corporation Ltd.,104,416.07,43271.74,359.35,Oil & Gas,37372.4,02-06-2016 00:15,-5899.34,-13.63%,-72.8,-0.19,0,-34.51,-34.51
Coal India Ltd.,20,154.04,3080.7,183.05,Oil & Gas,3661,02-06-2016 00:15,580.3,18.84%,3,0.08,0,0,0
Engineers India Ltd.,6,123.06,738.33,64.05,Engineering,'384.29999999999995,04-06-2016 00:15,-354.03,-47.95%,-10.2,-2.59,0,0,0
HDFC Bank Ltd.,18,1438.47,25892.46,1470.35,Banking,26466.3,05-06-2016 00:15,573.84,2.22%,-118.8,-0.45,0,0,0
ICICI Prudential Gold ETF,25,35.85,896.24,45.27,Banking,1131.75,06-06-2016 00:15,235.51,26.28%,-0.25,0,0,0,0
Indian Oil Corporation Ltd.,145,125.5,18198.18,118.95,Oil & Gas,17247.75,07-06-2016 00:15,-950.43,-5.22%,253.75,0,0,0,0
Infosys Ltd.,15,1475.54,22133.14,1906.85,IT,28602.75,08-06-2016 00:15,6469.61,29.23%,43.5,0,0,0,0
Jaiprakash Power Ventures Ltd.,400,4.71,1882.83,6.8,Manufacturing,2720,09-06-2016 00:15,837.17,44.46%,-80,0,0,0,0
Larsen & Toubro Ltd.,5,1030.55,5152.77,1767.65,Manufacturing,8838.25,10-06-2016 00:15,3685.48,71.52%,-29.75,0,0,0,0
Maruti Suzuki India Ltd.,7,6908.45,48359.16,7561.3,Automobile,52929.1,11-06-2016 00:15,4569.94,9.45%,'-261.09999999999997,0,0,0,0
Reliance Industries Ltd.,3,1119.42,3358.27,2634.75,Oil & Gas,7904.25,12-06-2016 00:15,4545.98,135.37%,'-114.60000000000001,0,0,0,0
State Bank of India,100,173.59,17358.85,493.55,Banking,49355,13-06-2016 00:15,31996.15,184.32%,-75,0,0,0,0
Suven Life Sciences Ltd.,5,95.13,475.63,92.7,Pharma,463.5,14-06-2016 00:15,-12.13,-2.55%,51.25,0,0,0,0
Suven Pharmaceuticals Ltd.,10,52.49,524.86,618.45,Pharma,6184.5,15-06-2016 00:15,5659.64,1078.31%,49.5,0,0,0,0
Tata Consultancy Services Ltd.,15,2407.69,36115.34,3739.95,IT,56099.25,16-06-2016 00:15,19983.91,55.33%,126,0,0,0,0
Vodafone Idea Ltd.,200,8.81,1761.2,9.65,Telecom,1930,17-06-2016 00:15,168.8,9.58%,-40,0,0,0,0
Zomato Ltd.,165,146.67,24200.72,82.3,Gig,13579.5,18-06-2016 00:15,-10621.22,-43.89%,-453.75,0,0,0,0
